wl,n
5.1438,3.25E-03
5.1643,3.19E-03
5.1849,3.34E-03
5.2057,3.83E-03
5.2267,4.56E-03
5.2479,5.51E-03
5.2692,6.14E-03
5.2907,5.76E-03
5.3124,4.98E-03
5.3343,4.69E-03
5.3563,4.72E-03
5.3785,4.92E-03
5.4009,5.26E-03
5.4235,5.83E-03
5.4463,6.61E-03
5.4693,7.55E-03
5.4925,9.38E-03
5.5159,1.36E-02
5.5394,2.48E-02
5.5632,5.81E-02
5.5872,1.33E-01
5.6114,2.17E-01
5.6358,2.42E-01
5.6604,1.72E-01
5.6852,8.24E-02
5.7103,3.75E-02
5.7355,2.51E-02
5.7610,2.06E-02
5.7867,1.69E-02
5.8127,1.32E-02
5.8389,1.02E-02
5.8653,8.74E-03
5.8919,7.58E-03
5.9188,6.39E-03
5.9460,6.10E-03
5.9734,6.45E-03
6.0011,6.83E-03
6.0290,7.46E-03
6.0571,7.65E-03
6.0856,6.80E-03
6.1143,5.93E-03
6.1433,5.87E-03
6.1725,7.02E-03
6.2020,1.08E-02
6.2319,1.57E-02
6.2620,1.72E-02
6.2924,1.36E-02
6.3231,8.78E-03
6.3541,6.29E-03
6.3854,5.89E-03
6.4170,5.86E-03
6.4489,6.49E-03
6.4811,7.59E-03
6.5137,9.55E-03
6.5466,1.53E-02
6.5798,4.33E-02
6.6134,1.15E-01
6.6473,1.56E-01
6.6816,1.05E-01
6.7162,4.63E-02
6.7512,2.64E-02
6.7865,2.46E-02
6.8223,2.59E-02
6.8583,2.27E-02
6.8948,1.75E-02
6.9317,1.38E-02
6.9690,1.13E-02
7.0066,1.18E-02
7.0447,1.89E-02
7.0832,2.87E-02
7.1221,2.68E-02
7.1615,2.04E-02
7.2013,2.08E-02
7.2415,2.04E-02
7.2822,2.24E-02
7.3233,2.78E-02
7.3649,2.20E-02
7.4070,1.37E-02
7.4496,1.22E-02
7.4926,1.27E-02
7.5362,1.44E-02
7.5803,2.02E-02
7.6249,3.04E-02
7.6700,4.33E-02
7.7156,5.98E-02
7.7618,6.97E-02
7.8086,6.95E-02
7.8559,9.46E-02
7.9038,2.26E-01
7.9523,4.05E-01
8.0014,5.49E-01
8.0511,6.34E-01
8.1014,6.63E-01
8.1524,6.19E-01
8.2040,4.70E-01
8.2562,3.41E-01
8.3091,4.34E-01
8.3628,5.63E-01
8.4171,4.39E-01
8.4721,2.28E-01
8.5278,2.58E-01
8.5843,3.50E-01
8.6415,2.46E-01
8.6995,8.88E-02
8.7583,4.07E-02
8.8179,3.01E-02
8.8783,2.67E-02
8.9395,3.18E-02
9.0016,4.14E-02
9.0645,4.17E-02
9.1284,3.79E-02
9.1931,6.42E-02
9.2588,8.14E-02
9.3254,4.95E-02
9.3930,2.32E-02
9.4615,2.15E-02
9.5311,2.15E-02
9.6017,2.29E-02
9.6733,2.42E-02
9.7461,6.31E-02
9.8199,1.38E-01
9.8949,1.36E-01
9.9710,6.87E-02
10.048,3.10E-02
10.127,1.87E-02
10.207,1.27E-02
10.288,1.21E-02
10.370,1.18E-02
10.453,1.14E-02
10.538,1.17E-02
10.625,1.20E-02
10.713,1.11E-02
10.802,1.17E-02
10.893,1.35E-02
10.985,1.34E-02
11.079,1.67E-02
11.174,3.27E-02
11.272,4.38E-02
11.370,3.27E-02
11.471,1.82E-02
11.573,1.70E-02
11.678,3.20E-02
11.784,6.02E-02
11.892,9.56E-02
12.002,1.22E-01
12.114,1.12E-01
12.229,8.06E-02
12.345,5.13E-02
12.464,2.66E-02
12.585,1.78E-02
12.708,2.25E-02
12.834,3.70E-02
12.962,5.23E-02
13.093,5.12E-02
13.227,3.78E-02
13.363,2.59E-02
13.502,2.07E-02
13.645,2.02E-02
13.790,1.98E-02
13.938,2.07E-02
14.089,2.24E-02
