wl,n
0.87,6.26E-07
0.88,7.57E-06
0.89,7.81E-06
0.90,7.73E-06
0.91,7.75E-06
0.92,7.45E-06
0.93,7.75E-06
0.94,7.79E-06
0.95,7.85E-06
0.96,1.14E-06
0.97,4.00E-06
0.98,4.12E-06
0.99,5.11E-06
1.00,9.11E-06
1.01,1.02E-06
1.02,1.08E-06
1.03,1.19E-06
1.04,1.26E-06
1.05,1.22E-06
1.06,1.15E-06
1.07,1.09E-06
1.08,1.14E-06
1.09,8.04E-07
1.10,1.23E-06
1.11,1.79E-06
1.12,3.28E-06
1.13,6.05E-06
1.14,3.69E-06
1.15,3.17E-06
1.16,3.65E-06
1.17,4.30E-06
1.18,5.02E-06
1.19,4.41E-06
1.20,2.84E-06
1.21,2.13E-06
1.22,1.77E-06
1.23,1.67E-06
1.24,1.48E-06
1.25,1.43E-06
1.26,1.10E-06
1.27,1.63E-06
1.28,1.59E-06
1.29,1.58E-06
1.30,1.56E-06
1.31,1.73E-06
1.32,1.77E-06
1.33,2.08E-06
1.34,2.37E-06
1.35,3.75E-06
1.36,5.65E-06
1.37,5.95E-06
1.38,7.38E-06
1.39,7.40E-06
1.40,8.39E-06
1.41,9.28E-06
1.42,9.06E-06
1.43,7.88E-06
1.44,6.34E-06
1.45,5.54E-06
1.46,5.43E-06
1.47,4.67E-06
1.48,3.52E-06
1.49,3.57E-06
1.50,3.48E-06
1.51,3.14E-06
1.52,2.69E-06
1.53,2.82E-06
1.54,2.65E-06
1.55,2.45E-06
1.56,3.09E-06
1.57,3.08E-06
1.58,3.40E-06
1.59,3.55E-06
1.60,4.29E-06
1.61,6.02E-06
1.62,8.80E-06
1.63,1.22E-05
1.64,2.89E-05
1.65,6.78E-05
1.66,1.13E-04
1.67,7.27E-05
1.68,5.66E-05
1.69,4.59E-05
1.70,4.27E-05
1.71,4.01E-05
1.72,4.38E-05
1.73,4.50E-05
1.74,3.58E-05
1.75,2.86E-05
1.76,2.70E-05
1.77,2.56E-05
1.78,2.09E-05
1.79,2.01E-05
1.80,2.10E-05
1.81,2.14E-05
1.82,2.04E-05
1.83,2.07E-05
1.84,1.69E-05
1.85,1.65E-05
1.86,1.76E-05
1.87,1.95E-05
1.88,1.90E-05
1.89,2.49E-05
1.90,4.51E-05
1.91,5.06E-05
1.92,3.61E-05
1.93,2.77E-05
1.94,2.83E-05
1.95,3.33E-05
1.96,2.90E-05
1.97,2.14E-05
1.98,1.89E-05
1.99,1.90E-05
2.00,1.91E-05
2.0097,2.11E-05
2.0190,2.53E-05
2.0285,2.70E-05
2.0381,2.87E-05
2.0478,3.06E-05
2.0575,3.42E-05
2.0673,4.10E-05
2.0773,4.94E-05
2.0873,5.36E-05
2.0975,5.62E-05
2.1077,6.94E-05
2.1180,9.97E-05
2.1285,1.35E-04
2.1390,1.36E-04
2.1496,1.26E-04
2.1568,1.21E-04
2.1676,1.08E-04
2.1785,9.90E-05
2.1896,8.86E-05
2.1970,8.10E-05
2.2082,8.20E-05
2.2196,1.04E-04
2.2272,1.31E-04
2.2387,1.82E-04
2.2465,1.07E-03
2.2582,2.28E-03
2.2661,2.91E-03
2.2781,2.87E-03
2.2861,2.46E-03
2.2983,1.81E-03
2.3065,1.38E-03
2.3188,8.63E-04
2.3272,1.16E-03
2.3398,1.66E-03
2.3482,2.15E-03
2.3568,2.19E-03
2.3697,1.61E-03
2.3784,1.65E-03
2.3872,1.98E-03
2.3960,2.40E-03
2.4093,2.54E-03
2.4183,1.87E-03
2.4274,1.05E-03
2.4365,6.51E-04
2.4457,5.33E-04
2.4596,9.63E-04
2.4690,8.36E-04
2.4784,1.03E-03
2.4880,1.14E-03
2.4975,8.18E-04
2.5072,7.94E-04
2.5169,1.15E-03
2.5268,1.41E-03
2.5366,1.12E-03
2.5466,1.13E-03
