wl,n
3.7901,1.85E-03
3.8013,1.82E-03
3.8124,1.77E-03
3.8237,1.76E-03
3.8350,1.73E-03
3.8464,1.70E-03
3.8578,1.69E-03
3.8693,1.81E-03
3.8809,1.98E-03
3.8926,2.23E-03
3.9043,2.32E-03
3.9161,2.19E-03
3.9280,2.12E-03
3.9399,1.94E-03
3.9519,1.63E-03
3.9640,1.47E-03
3.9762,1.49E-03
3.9884,1.73E-03
4.0007,2.10E-03
4.0131,2.20E-03
4.0255,2.02E-03
4.0381,1.99E-03
4.0507,2.12E-03
4.0634,2.01E-03
4.0762,1.83E-03
4.0890,1.74E-03
4.1020,1.81E-03
4.1150,2.03E-03
4.1281,2.07E-03
4.1413,1.91E-03
4.1546,1.80E-03
4.1679,1.77E-03
4.1814,1.94E-03
4.1949,2.16E-03
4.2085,2.14E-03
4.2222,1.85E-03
4.2360,2.30E-03
4.2499,2.42E-03
4.2639,2.52E-03
4.2780,2.04E-03
4.2921,1.65E-03
4.3064,1.26E-03
4.3208,1.40E-03
4.3352,1.78E-03
4.3498,1.94E-03
4.3644,2.07E-03
4.3791,2.08E-03
4.3940,2.07E-03
4.4089,2.16E-03
4.4240,2.26E-03
4.4391,2.11E-03
4.4544,2.03E-03
4.4697,2.11E-03
4.4852,2.08E-03
4.5008,2.05E-03
4.5165,1.95E-03
4.5323,1.76E-03
4.5482,1.57E-03
4.5642,1.43E-03
4.5803,1.43E-03
4.5965,1.37E-03
4.6129,1.42E-03
4.6294,1.65E-03
4.6460,1.79E-03
4.6627,1.76E-03
4.6795,1.79E-03
4.6965,1.92E-03
4.7136,1.89E-03
4.7308,1.66E-03
4.7481,1.46E-03
4.7655,1.46E-03
4.7831,1.51E-03
4.8008,1.71E-03
4.8187,1.87E-03
4.8367,1.48E-03
4.8548,1.27E-03
4.8730,1.46E-03
4.8914,1.63E-03
4.9100,1.76E-03
4.9286,1.58E-03
4.9474,1.44E-03
4.9664,1.70E-03
4.9855,1.74E-03
5.0047,1.83E-03
5.0241,2.03E-03
5.0437,1.67E-03
5.0634,1.55E-03
5.0832,1.89E-03
5.1033,2.07E-03
5.1234,2.05E-03
5.1438,2.02E-03
